[2025-11-12 02:07:44] [UNKNOWN] server.port "28015"
[2025-11-12 02:07:44] [UNKNOWN] server.level "Procedural Map"
[2025-11-12 02:07:44] [UNKNOWN] server.identity "my_server_identity"
[2025-11-12 03:03:01] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 03:03:05] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 03:03:19] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 03:03:26] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 03:03:28] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 03:03:30] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 03:03:36] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 03:03:39] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 03:03:47] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 03:03:54] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 03:03:59] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 03:04:05] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 03:04:18] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 03:04:26] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 03:04:28] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 03:04:35] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 03:04:48] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 03:05:02] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 03:06:25] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 03:06:33] [USER 76561199145125286 38.150.15.252:39088] inventory.endloot
[2025-11-12 03:07:07] [USER 76561199145125286 38.150.15.252:39088] server.save
[2025-11-12 03:20:02] [UNKNOWN] server.port "28015"
[2025-11-12 03:20:02] [UNKNOWN] server.level "Procedural Map"
[2025-11-12 03:20:02] [UNKNOWN] server.identity "my_server_identity"
[2025-11-12 12:26:38] [UNKNOWN] server.port "28015"
[2025-11-12 12:26:38] [UNKNOWN] server.level "Procedural Map"
[2025-11-12 12:26:38] [UNKNOWN] server.identity "my_server_identity"
